"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
2.341930415E-1,NaN
3.391210833E-1,-8.040189572E1
4.440474999E-1,-7.234539742E1
5.483878329E-1,-7.425656237E1
6.521184999E-1,-7.603928884E1
7.548821666E-1,-6.492497070E1
8.615582497E-1,-6.420665950E1
9.662043331E-1,-6.898876166E1
1.071501667E0,-6.905668628E1
1.176522208E0,-6.672140888E1
1.283496125E0,-6.375156188E1
1.390186500E0,-5.298295494E1
1.496020333E0,-5.982711596E1
1.600564583E0,-6.405089675E1
1.707309292E0,-6.673747137E1
1.809906250E0,-5.453136664E1
1.915388917E0,-5.391623342E1
2.019988792E0,-6.526451044E1
2.123038708E0,NaN
2.224003625E0,-7.058533611E1
2.330697416E0,-7.101692138E1
2.434498458E0,-4.648712446E1
2.539097792E0,-5.699455185E1
2.644157750E0,-4.356808996E1
2.749379791E0,-6.355016661E1
2.851434333E0,-7.253123780E1
2.956876833E0,-7.398585196E1
3.061520167E0,-7.438904020E1
3.166459750E0,-7.075043092E1
3.271512833E0,-6.763607280E1
3.376522500E0,-5.813456805E1
3.483285625E0,-5.301051026E1
3.585536916E0,-5.879437992E1
3.692231583E0,-5.946723736E1
3.798987417E0,-5.929956885E1
3.902721750E0,-5.352371791E1
4.009437208E0,-5.306285679E1
4.116134708E0,-5.644528329E1
4.219661125E0,-5.571101898E1
4.323700916E0,-5.709557976E1
4.430549541E0,-5.847376740E1
4.536861625E0,-5.749119217E1
4.639226750E0,-5.779002775E1
4.744155041E0,-5.511702149E1
4.848477125E0,-4.984007240E1
4.954091792E0,-5.255324057E1
5.060904000E0,-5.541403681E1
5.167617333E0,-6.165028233E1
5.271198250E0,-6.040792987E1
5.376557833E0,-5.870692956E1
5.483206042E0,-6.193592363E1
5.588215833E0,-6.657243635E1
5.695014333E0,-7.355977452E1
5.801778208E0,-7.426512022E1
5.905123458E0,-7.635534275E1
6.009855083E0,-7.413736711E1
6.112350208E0,NaN
6.218237916E0,-7.181205617E1
6.323658166E0,-7.158403904E1
6.430273917E0,-7.357627274E1
6.536878875E0,-7.535995669E1
6.639021792E0,-7.649471107E1
6.744143708E0,-7.070637569E1
6.848369458E0,-6.765843703E1
6.953910000E0,-6.878671902E1
7.056037541E0,-6.627841742E1
7.161425166E0,-6.790247071E1
7.268125417E0,-7.398363624E1
7.371039375E0,-7.074041154E1
7.476554625E0,-6.612175168E1
7.583307083E0,-5.412715904E1
7.687922916E0,-6.568359112E1
7.790098083E0,-7.182827103E1
7.896807083E0,-7.382281121E1
8.003606792E0,-7.348251189E1
8.109859542E0,-6.971411788E1
8.216699875E0,-4.522591469E1
8.321771208E0,-4.145259571E1
8.423649000E0,-4.152816988E1
8.529274125E0,-5.178633046E1
8.635905916E0,-5.940997505E1
8.739809417E0,-5.662352262E1
8.844145375E0,-4.935479142E1
8.948373333E0,-6.061510956E1
9.055149625E0,-6.545591732E1
9.161340208E0,-7.379095872E1
9.267965708E0,-7.354893060E1
9.372833041E0,-6.968031901E1
9.476513625E0,-6.064705674E1
9.583256667E0,-6.986525630E1
9.689828292E0,-7.411946737E1
9.791936375E0,-5.269885233E1
9.898634291E0,-4.747439811E1
1.000540321E1,-5.811366228E1
1.010902842E1,-5.382527541E1
1.021574787E1,-6.943511834E1
1.032244825E1,-5.158316705E1
1.042604896E1,-5.229363535E1
1.052831342E1,-6.136694520E1
1.063501983E1,-5.882402413E1
1.074094004E1,-5.280276808E1
1.084412312E1,-5.515257899E1
1.094838887E1,-4.523928723E1
1.105504654E1,-4.216305709E1
1.116140679E1,-4.640000794E1
1.126810258E1,-5.744321381E1
1.137149354E1,-5.406671072E1
1.147650671E1,-5.230554142E1
1.157976746E1,-5.751498890E1
1.168653771E1,-5.524907737E1
1.179203638E1,-6.687442213E1
1.189680312E1,-5.315252353E1
1.200350725E1,-6.027276961E1
1.210899946E1,-7.168329784E1
1.221566267E1,-7.480027706E1
1.231777171E1,NaN
1.242363471E1,-7.337723277E1
1.252828137E1,-7.383687209E1
1.263412579E1,-7.310201378E1
1.273922083E1,-7.314110643E1
1.284414417E1,-6.436993487E1
1.294839921E1,-5.792257088E1
1.305157321E1,-4.820431553E1
1.315820471E1,-5.276926012E1
1.326176271E1,-6.044365938E1
1.336569633E1,-4.742984061E1
1.347154479E1,-5.905117824E1
1.357739771E1,-5.036054414E1
1.367948000E1,-5.516193797E1
1.378620508E1,-6.088316127E1
1.389289850E1,-6.119701915E1
1.399643196E1,-6.689376668E1
1.410320683E1,-5.210667087E1
1.420986687E1,-5.440262805E1
1.431343729E1,-5.236272010E1
1.442019671E1,-4.866290778E1
1.452365075E1,-4.650330096E1
1.462860525E1,-4.715772851E1
1.473055179E1,-5.831841491E1
1.483728692E1,-5.014181058E1
1.493921929E1,-5.110967185E1
1.504555471E1,-4.850281384E1
1.514836150E1,-5.351537430E1
1.525499221E1,-6.417048542E1
1.536142654E1,-5.775706249E1
1.546470637E1,-4.699467157E1
1.557148200E1,-5.259504998E1
1.567651046E1,-3.968466627E1
1.578160304E1,-4.989152251E1
1.588839750E1,-5.504012331E1
1.599516779E1,-5.268730981E1
1.610193129E1,-5.185703770E1
1.620871687E1,-5.122844397E1
1.631346825E1,-5.252845502E1
1.641549204E1,NaN
1.652143196E1,-5.836060987E1
1.662367604E1,-5.468720595E1
1.673042375E1,-5.459487668E1
1.683270775E1,-5.186895882E1
1.693925529E1,-4.083186843E1
1.704417596E1,-5.245262443E1
1.714834496E1,-4.672858980E1
1.725506296E1,-6.227481533E1
1.736141171E1,-4.153712576E1
1.746456658E1,-5.392753259E1
1.756687271E1,-5.803670423E1
1.767152204E1,-5.987009046E1
1.777652208E1,-6.263011922E1
1.788193879E1,-5.526718592E1
1.798395412E1,-4.754636996E1
1.808871763E1,-4.464340070E1
1.819547862E1,-5.019980190E1
1.829884004E1,-4.807006071E1
1.840556529E1,-4.050783105E1
1.850983046E1,-5.263043808E1
1.861561471E1,-5.255646683E1
1.871780062E1,NaN
1.882366621E1,-4.386751393E1
1.893025750E1,-6.050255932E1
1.903285871E1,-5.900879720E1
1.913923779E1,-4.952788700E1
1.924414346E1,-5.624195497E1
1.934973333E1,-5.039115633E1
1.945181583E1,-5.297710947E1
1.955531525E1,-6.690883819E1
1.966141092E1,-6.062611246E1
1.976673375E1,-5.568994054E1
1.987150804E1,-4.546910739E1
1.997657229E1,-3.687503175E1
2.008332958E1,-3.891347366E1
2.018570942E1,-5.036223300E1
2.029241429E1,-5.211670330E1
2.039684867E1,-5.237246615E1
2.050063421E1,-6.005007761E1
2.060271375E1,-5.028096407E1
2.070951471E1,-5.764705980E1
2.081623308E1,-5.555784591E1
2.091959600E1,-5.805603249E1
2.102363321E1,-3.714162464E1
2.113029242E1,-3.568775970E1
2.123654683E1,-5.472668802E1
2.133926471E1,-5.872592718E1
2.144417079E1,-6.758724744E1
2.154837496E1,-4.630097278E1
2.165150383E1,-5.586943694E1
2.175370454E1,-5.053225989E1
2.185621996E1,-5.706457668E1
2.196139575E1,-4.454023246E1
2.206833792E1,-4.054165510E1
2.217060479E1,-3.650120603E1
2.227666879E1,-4.282572359E1
2.238335400E1,-4.881900177E1
2.248730408E1,-6.843364479E1
2.259078442E1,-4.445188413E1
2.269759296E1,-5.027029299E1
2.280214308E1,-4.994877374E1
2.290402608E1,-5.033673452E1
2.300985500E1,-5.051432143E1
2.311640737E1,-4.669175947E1
2.322078658E1,NaN
2.332367262E1,-3.768013408E1
2.343034167E1,-4.214537091E1
2.353580446E1,-4.301691390E1
2.363923587E1,-5.751338185E1
2.374416137E1,-6.011864819E1
2.384846075E1,-5.008125780E1
2.395265683E1,-4.272267818E1
2.405471817E1,-4.850074110E1
2.416140842E1,-4.986051560E1
2.426800038E1,-5.194509927E1
2.437145879E1,-5.831127861E1
